0.0,1.0,0.0,1.3418983541797682,2.302585092994046,-8.53380305347082
10.0,1.0,10.0,1.2624972255789229,2.995732273553991,-10.378677778444615
20.0,1.0,20.0,1.0886112580359095,3.4011973816621555,-11.457860311082541
30.0,1.0,30.0,0.8764732115752631,3.6888794541139363,-12.22355250341841
40.0,1.0,40.0,0.6720086153260711,3.912023005428146,-12.81746950893507
50.0,1.0,50.0,0.511542073580739,4.0943445622221,-13.302735036056337
60.0,1.0,60.0,0.42250357185375353,4.248495242049359,-13.713021193205673
70.0,1.0,70.0,0.4241347829404477,4.382026634673881,-14.068427228392203
80.0,1.0,80.0,0.528195372975768,4.499809670330265,-14.381917568694263
90.0,1.0,90.0,0.7396693074930346,4.605170185988092,-14.662344233908865
100.0,1.0,100.0,1.0574711574827085,4.700480365792417,-14.916021009469954
110.0,1.0,110.0,1.4751524054511553,4.787491742782046,-15.147609761030132
120.0,1.0,120.0,1.9816077514794133,4.867534450455582,-15.360650760758475
130.0,1.0,130.0,2.5617814192819512,4.941642422609304,-15.557895918179465
140.0,1.0,140.0,3.197373462265438,5.0106352940962555,-15.74152676654679
150.0,4.0,150.0,3.8675460695875117,5.075173815233827,-15.913301953365998
160.0,5.0,160.0,4.549629872215527,5.135798437050262,-16.074659938563148
170.0,5.0,170.0,5.219830248985343,5.19295685089021,-16.22679229366806
180.0,6.0,180.0,5.853933632660079,5.247024072160486,-16.37069715654367
190.0,6.0,190.0,6.428013815988852,5.298317366548036,-16.50721895888266
200.0,10.0,200.0,6.919138257765596,5.3471075307174685,-16.63707845081739
210.0,8.0,210.0,7.306074388887778,5.393627546352362,-16.76089573444375
220.0,8.0,220.0,7.5699959184151755,5.438079308923196,-16.879208173053424
230.0,8.0,230.0,7.695189139628685,5.480638923341991,-16.992484486003924
240.0,8.0,240.0,7.6697592360889875,5.521460917862246,-17.10113596439932
250.0,8.0,250.0,7.486336587695437,5.560681631015528,-17.20552548573227
260.0,10.0,260.0,7.1427830767447436,5.598421958998375,-17.305974826305984
270.0,5.0,270.0,6.642898393989634,5.634789603169249,-17.40277064315326
280.0,4.0,280.0,5.9971263446979854,5.66988092298052,-17.496169405784723
290.0,5.0,290.0,5.223261154711179,5.703782474656201,-17.586401491520586
300.0,3.0,300.0,4.347153776503021,5.736572297479192,-17.673674609061997
310.0,2.0,310.0,3.403418195238585,5.768320995793772,-17.758176678339794
320.0,1.0,320.0,2.436137734832841,5.799092654460526,-17.840078267081676
330.0,1.0,330.0,1.4995713640095687,5.8289456176102075,-17.919534663536943
340.0,1.0,340.0,0.6588600023599165,5.857933154483459,-17.996687648669923
350.0,1.0,350.0,-0.009267173598544565,5.886104031450156,-18.071667018641854
360.0,1.0,360.0,-0.4157864243634102,5.91350300563827,-18.144591898649338
370.0,1.0,370.0,-0.4586731413883949,5.940171252720432,-18.215571881517466
380.0,1.0,380.0,-0.022195541024677468,5.966146739123692,-18.284708018370196
390.0,1.0,390.0,1.023791641538075,5.991464547107982,-18.352093683856456
400.0,1.0,400.0,2.8245534583299143,0.0,0.0
